card_name,games_played,wins,winrate_pct,distinct_drafts,reliable
Inquisition of Kozilek,217,80,36.87,31,True
Vampire Sovereign,49,18,36.73,7,True
Repulsive Mutation,49,18,36.73,7,True
Bone Shards,245,89,36.33,35,True
Halo Forager,203,73,35.96,29,True
Bitter Reunion,14,5,35.71,2,True
Consider,182,65,35.71,26,True
Contaminated Landscape,42,15,35.71,6,True
Sinister Starfish,154,55,35.71,22,True
Watery Grave,196,70,35.71,28,True
Pyretic Rebirth,70,25,35.71,10,True
Elite Interceptor,14,5,35.71,2,True
Duress,203,72,35.47,29,True
Striped Riverwinder,119,42,35.29,17,True
Dinrova Horror,154,54,35.06,22,True
Marauding Sphinx,35,12,34.29,5,True
Obsessive Stitcher,133,45,33.83,19,True
Artisan of Kozilek,77,26,33.77,11,True
Lively Dirge,217,73,33.64,31,True
Chainweb Aracnir,21,7,33.33,3,True
Animate Dead,189,63,33.33,27,True
Exhume,217,72,33.18,31,True
Reanimate,210,69,32.86,30,True
Diresight,105,34,32.38,15,True
Mouth of the Storm,28,9,32.14,4,True
Fetid Pools,147,47,31.97,21,True
Collector's Vault,133,42,31.58,19,True
Everflowing Chalice,35,11,31.43,5,True
Meat Locker // Drowned Diner,21,6,28.57,3,True
Basalt Monolith,28,8,28.57,4,True
Mirrorshell Crab,161,44,27.33,23,True
Argyr,42,9,21.43,6,True
Tidal Spinner,42,9,21.43,6,True
Mask of Memory,7,1,14.29,1,False
Meteor Golem,14,2,14.29,2,True
Sandstone Oracle,7,1,14.29,1,False
Seething Landscape,14,1,7.14,2,True
